"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YKL085W",7663.67953726362,7482.32159925127,6942.84200620074,24955.3009097066,26413.525753744,23848.0958035776
"YKL084W",1787.60643140654,1752.45703809043,1761.53192637299,951.880785004689,978.506662359109,1029.8818991215
"YKL082C",4187.99498012929,4449.0194523352,4450.36513099773,5793.1481993149,6436.19424140819,6105.15814617652
"YKL081W",13756.3730731274,14902.0554471422,13809.6384975387,13536.215042386,12957.5206138183,13291.5212097032
"YNCK0009W",34.1518695956489,43.1943636149049,38.590261273635,40.9317446433855,42.0532213382846,42.1989260991092
"YKL080W",12370.7829352468,12311.2751478727,12154.7972935105,9422.13926163379,9617.87942656328,9210.77100476772
"YKL079W",2336.96364804512,2215.25379110726,2097.49420099051,2171.12424246724,2341.64644671472,2092.83863221258
"YKL078W",830.378315025636,932.645647032027,902.331109192348,784.670253695539,867.732323224115,943.203023890899
"YKL077W",4377.29391445946,4357.34161935663,4376.58963150402,3599.38086406622,3817.61194685598,3672.44708213869
"YKL075C",2985.84917036245,2983.05564230282,2940.80491058789,2686.69004733711,2924.23741549876,2659.67285576007
"YKL074C",2057.89408506353,2142.96934587416,2205.31993101979,1836.70317984894,1989.83535112859,1984.49003817432
"YKL073W",3081.47440523027,3063.27374615907,3347.13766164558,2846.93347317505,2921.16035052279,3184.30815320845
"YKL072W",3158.56005374616,3072.08892240701,2944.20993364145,2246.89151446669,2228.82073092908,2222.85694505848
"YNCK0010W",4.87883851366413,1.76303524958795,2.27001536903735,4.3544409195091,5.12844162662007,3.42153454857642
"YKL071W",754.268434212475,735.185699078177,743.430033359733,772.477819120914,799.011205427407,694.571513361013
"YKL070W",1131.89053517008,1118.64586586356,1191.75806874461,968.427660498823,1043.12502685452,955.748650569013
"YKL069W",1989.59034587223,1801.82202507889,1833.03741049766,2354.88164927052,2189.84457456677,2330.06502758054
"YNCK0011C",8.78190932459544,10.5782114975277,4.5400307380747,2.61266455170546,6.15412995194408,2.28102303238428
"YKL068W-A",19118.2165996443,17985.6040986715,15669.9160924648,2266.05105451253,2583.70889149119,2284.44456693286
"YKL068W",5782.39940639473,5785.40017152287,5931.5501592946,3747.43185532953,3586.83207365808,3714.6460082378
"YNCK0012C",2.92730310819848,1.76303524958795,0,1.74177636780364,1.02568832532401,2.28102303238428
"YKL067W",5431.12303341091,4836.88720724455,4712.55190612154,11114.275002955,10179.9566288408,10796.0820122748
"YKL065W-A",186.37163122197,168.36986633565,136.200922142241,1617.23935750568,1125.18009288044,1545.39310444035
"YKL065C",7021.62438886542,6721.57188905407,6719.24549235056,9432.58991984061,9230.1692395908,8859.49345778054
"YKL064W",4411.44578405511,4161.64470665236,4074.67758742205,4608.74026920843,4870.99385696374,4579.15373751144
"YKL063C",2987.80070576792,2946.03190206147,2945.34494132596,3332.01819160836,3326.30723902578,3598.3138335862
"YKL062W",9861.10840381795,9723.13940147756,9140.2168834289,10490.7190632813,11598.4835827639,10660.3611418479
"YKL061W",1309.48025706745,1315.22429619261,1232.61834538728,1730.45482141292,1641.10132051842,1795.16512648643
"YKL060C",299058.16437207,289878.255737251,302555.59343909,353369.847723635,351694.16711705,363879.058729586
"YKL059C",2348.67286047791,2377.45303406936,2333.5757993704,2633.5658681191,2628.83917780545,2606.06881449904
"YKL058W",2387.70356858723,2413.59525668591,2217.80501554949,3256.2509196089,3015.5236764526,3162.6384344008
"YKL057C",2713.60998129999,2877.27352732754,2794.38891928498,3209.22295767821,2927.31448047473,3330.29362728105
"YKL056C",26482.3354521689,27221.264253638,28000.6395770757,34228.5182918932,33389.2320542726,36327.572813752
"YKL055C",147.340923112657,149.857996214976,131.660891404166,107.119246619924,107.697274159021,132.299335878288
"YKL054C",5677.99226220232,5357.86412349779,5276.65072532733,6611.78309218261,6202.33730323431,6691.38106549928
"YKL053C-A",1357.29287450136,1321.39491956617,1340.44407541656,2448.93757313192,2119.07208011941,2187.50108805652
"YKL052C",2620.91204954037,2685.98420274725,2726.28845821386,2377.52474205197,2928.34016880006,2427.00850645687
"YKL051W",1886.15896938255,1775.37649633507,1789.90711848595,1253.20809663472,1315.95812139071,1310.44773210477
"YKL050C",757.195737320674,758.986674947614,797.910402216629,1963.8528546986,1833.93072567934,2081.43351705065
"YKL049C",1364.12324842049,1266.74082682894,1284.82869887514,1400.38819971413,1377.49942091015,1478.10292498501
